KGISWardID,KGISWardCode,LGD_WardCode,KGISWardNo,KGISWardName,KGISTownCode,LST_mean_C,NDVI_mean,NDBI_mean,NDWI_mean,valid_pixels
5051,2003088,1302760.0,88,Basavanapura,2003,42.84,0.2677,-0.0103,-0.3264,5562
5054,2003089,1302761.0,89,Devasandra,2003,42.62,0.3074,-0.0067,-0.3515,3146
5058,2003091,1302763.0,91,A Narayanapura,2003,43.01,0.2227,0.0183,-0.2815,1842
5055,2003090,1302762.0,90,Mahadevapura,2003,42.33,0.2674,-0.0028,-0.3236,4072
5059,2003092,1302764.0,92,Vijnana Nagar,2003,42.24,0.2911,-0.0028,-0.3472,2264
6965,2003227,,227,Begur,2003,43.91,0.2733,0.0138,-0.3343,7912
6966,2003226,,226,Kalena Agrahara,2003,43.44,0.323,0.0098,-0.3789,11484
6967,2003217,,217,Uttarahalli,2003,42.83,0.2351,0.0085,-0.2962,1477
6968,2003206,,206,Padmanabha Nagar,2003,41.92,0.2736,-0.018,-0.3249,1487
6969,2003202,,202,Ganesh Mandir ward,2003,40.92,0.3131,-0.0551,-0.3566,1841
6970,2003203,,203,Banashankari Temple ward,2003,41.95,0.2682,0.0152,-0.3104,644
5167,2003146,1302818.0,146,Dr. Raj Kumar Ward,2003,42.55,0.2793,-0.0049,-0.3184,1468
5170,2003147,1302819.0,147,Agrahara Dasarahalli,2003,42.05,0.251,-0.0044,-0.2996,762
5174,2003149,1302821.0,149,Kaveripura,2003,44.4,0.2322,0.0547,-0.2912,1239
5171,2003148,1302820.0,148,Govindaraja Nagar,2003,41.41,0.2658,-0.0193,-0.3121,907
5175,2003150,1302822.0,150,Marenahalli,2003,41.44,0.2367,-0.0025,-0.2884,947
5178,2003151,1302823.0,151,Maruthi Mandir ward,2003,41.47,0.2629,-0.0241,-0.3121,892
5179,2003152,1302824.0,152,Mudalapalya,2003,42.16,0.2184,0.0166,-0.2707,707
5182,2003153,1302825.0,153,Nagarabhavi,2003,41.39,0.3268,-0.0415,-0.3661,1576
5183,2003154,1302826.0,154,Chandra Layout,2003,42.08,0.3328,-0.024,-0.3759,1777
5186,2003155,1302827.0,155,Nayandahalli,2003,43.21,0.2746,0.0074,-0.317,1199
4914,2003019,1303157.0,19,Defence Colony,2003,39.46,0.2376,0.0257,-0.3027,1121
4946,2003035,1302707.0,35,Hemmigepura,2003,43.35,0.3757,0.0126,-0.4341,36565
5239,2003182,1302854.0,182,Shanthi Nagar,2003,41.72,0.3187,-0.0315,-0.3556,1394
5242,2003183,1302855.0,183,Neelasandra,2003,41.03,0.3783,-0.0597,-0.4158,2081
5243,2003184,1302856.0,184,Vannarapete,2003,40.94,0.3188,-0.0249,-0.3671,743
4934,2003029,1302701.0,29,Vidyamanyanagar,2003,42.82,0.2542,0.0383,-0.3268,5547
